ID,Genus,Percent,N15,Division,Depth,Zone,Location,Region
P1A,H. kanaloana,0.04,3.81,Chlorophyta,1,S,Maui,MHI
P1B,H. kanaloana,0.05,5.18,Chlorophyta,1,S,Maui,MHI
P1C,H. kanaloana,0.03,4.59,Chlorophyta,1,S,Maui,MHI
P1D,H. kanaloana,0.03,3.57,Chlorophyta,1,S,Maui,MHI
P1E,H. kanaloana,0.01,4.93,Chlorophyta,1,S,Maui,MHI
P1F,H. kanaloana,0.04,2.96,Chlorophyta,1,S,Maui,MHI
HK 67,H. kanaloana,0.03,0.41,Chlorophyta,2,S,Maui,MHI
HK 39+69,H. kanaloana,0.03,1.03,Chlorophyta,2,S,Maui,MHI
HK 68,H. kanaloana,0.03,2.21,Chlorophyta,2,S,Maui,MHI
NWHI-712a,Halimeda sp.,0.006782314,5.7,Chlorophyta,5,S,Lisianski,NWHI
NWHI-712b,Halimeda sp.,0.003780782,6.2,Chlorophyta,5,S,Lisianski,NWHI
NWHI-712c,Halimeda sp.,0.00542078,5.9,Chlorophyta,5,S,Lisianski,NWHI
HD 1,Halimeda sp.,0.02,3.78,Chlorophyta,5,S,Maui,MHI
HD 2,Halimeda sp.,0.03,3.21,Chlorophyta,5,S,Maui,MHI
HD 3,Halimeda sp.,0.02,3.63,Chlorophyta,5,S,Maui,MHI
HK 70,H. kanaloana,0.02,2.85,Chlorophyta,6,S,Maui,MHI
HK 71,H. kanaloana,0.03,4.57,Chlorophyta,6,S,Maui,MHI
HK 72,H. kanaloana,0.03,3.37,Chlorophyta,6,S,Maui,MHI
Ha30-10,H. kanaloana,0.03,2.39,Chlorophyta,9,S,Maui,MHI
Ha30-6,H. kanaloana,0.03,3.31,Chlorophyta,9,S,Maui,MHI
Ha30-7,H. kanaloana,0.03,3.02,Chlorophyta,9,S,Maui,MHI
Ha30-8,H. kanaloana,0.02,3.67,Chlorophyta,9,S,Maui,MHI
Ha30-9,H. kanaloana,0.02,2.68,Chlorophyta,9,S,Maui,MHI
HK30-1,H. kanaloana,0.03,5.21,Chlorophyta,9,S,Maui,MHI
HK30-2,H. kanaloana,0.02,3.55,Chlorophyta,9,S,Maui,MHI
HK30-3,H. kanaloana,0.02,2.83,Chlorophyta,9,S,Maui,MHI
HK30-4,H. kanaloana,0.02,3.59,Chlorophyta,9,S,Maui,MHI
HK30-5,H. kanaloana,0.04,3.05,Chlorophyta,9,S,Maui,MHI
Hono-1,H. kanaloana,0.02,2.9,Chlorophyta,9,S,Maui,MHI
Hono-2,H. kanaloana,0.02,3.39,Chlorophyta,9,S,Maui,MHI
Hono-3,H. kanaloana,0.03,3.56,Chlorophyta,9,S,Maui,MHI
Hono-4,H. kanaloana,0.02,3.09,Chlorophyta,9,S,Maui,MHI
Hono-5,H. kanaloana,0.02,3.27,Chlorophyta,9,S,Maui,MHI
