ID,Genus,Division,Percent,N15,Depth,Zone,Location,Lat,Long,Region,Site
NWHI-821a,Ulvaceae sp.,Chlorophyta,1.9,4.9,91,Mesophotic,Pearl & Hermes,27.9247,-175.90666,NWHI,A
NWHI-821b,Ulvaceae sp.,Chlorophyta,2.4,3.7,91,Mesophotic,Pearl & Hermes,27.9247,-175.90666,NWHI,A
NWHI-821c,Ulvaceae sp.,Chlorophyta,1.5,,91,Mesophotic,Pearl & Hermes,27.9247,-175.90666,NWHI,A
NWHI-813a,Laurencia sp.,Rhodophyta,1.9,4.2,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
NWHI-813b,Laurencia sp.,Rhodophyta,1.9,4.1,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
NWHI-813c,Laurencia sp.,Rhodophyta,2.0,4.2,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
AM_26,Chondria sp.,Rhodophyta,2.0,3,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
AM_37,Chondria sp.,Rhodophyta,1.3,2.7,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
AM_50,Chondria sp.,Rhodophyta,2.7,3.2,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
NWHI_811a,Chondria sp.,Rhodophyta,2.0,3.2,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
NWHI_811b,Chondria sp.,Rhodophyta,2.6,3,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
NWHI_811c,Chondria sp.,Rhodophyta,1.9,2.5,2,Shallow,Pearl & Hermes,27.9578,-175.80208,NWHI,B
NWHI-878a,Halimeda sp.,Chlorophyta,0.9,3.7,12,Shallow,Pearl & Hermes,27.78992,-175.99815,NWHI,C
NWHI-878b,Halimeda sp.,Chlorophyta,1.0,2.5,12,Shallow,Pearl & Hermes,27.78992,-175.99815,NWHI,C
NWHI-878c,Halimeda sp.,Chlorophyta,0.8,4.8,12,Shallow,Pearl & Hermes,27.78992,-175.99815,NWHI,C
