ID,Genus,Division,Percent,N15,Exact_Depth,Depth,Zone,Location,Region
P1A,H. kanaloana,Chlorophyta,3.6,3.8,1,1-10,Shallow,Maui,MHI
P1B,H. kanaloana,Chlorophyta,4.6,5.2,1,1-10,Shallow,Maui,MHI
P1C,H. kanaloana,Chlorophyta,3.0,4.6,1,1-10,Shallow,Maui,MHI
P1D,H. kanaloana,Chlorophyta,2.5,3.6,1,1-10,Shallow,Maui,MHI
P1E,H. kanaloana,Chlorophyta,0.9,4.9,1,1-10,Shallow,Maui,MHI
P1F,H. kanaloana,Chlorophyta,3.9,3.0,1,1-10,Shallow,Maui,MHI
HK 39+69,H. kanaloana,Chlorophyta,3.3,1.0,2,1-10,Shallow,Maui,MHI
HK 67,H. kanaloana,Chlorophyta,3.5,0.4,2,1-10,Shallow,Maui,MHI
HK 68,H. kanaloana,Chlorophyta,3.4,2.2,2,1-10,Shallow,Maui,MHI
HK 70,H. kanaloana,Chlorophyta,2.2,2.9,6,1-10,Shallow,Maui,MHI
HK 71,H. kanaloana,Chlorophyta,3.2,4.6,6,1-10,Shallow,Maui,MHI
HK 72,H. kanaloana,Chlorophyta,2.9,3.4,6,1-10,Shallow,Maui,MHI
Ha30-10,H. kanaloana,Chlorophyta,3.4,2.4,9,1-10,Shallow,Maui,MHI
Ha30-6,H. kanaloana,Chlorophyta,3.1,3.3,9,1-10,Shallow,Maui,MHI
Ha30-7,H. kanaloana,Chlorophyta,3.0,3.0,9,1-10,Shallow,Maui,MHI
Ha30-8,H. kanaloana,Chlorophyta,2.1,3.7,9,1-10,Shallow,Maui,MHI
Ha30-9,H. kanaloana,Chlorophyta,2.4,2.7,9,1-10,Shallow,Maui,MHI
HK30-1,H. kanaloana,Chlorophyta,2.9,5.2,9,1-10,Shallow,Maui,MHI
HK30-2,H. kanaloana,Chlorophyta,2.4,3.6,9,1-10,Shallow,Maui,MHI
HK30-3,H. kanaloana,Chlorophyta,2.3,2.8,9,1-10,Shallow,Maui,MHI
HK30-4,H. kanaloana,Chlorophyta,2.0,3.6,9,1-10,Shallow,Maui,MHI
HK30-5,H. kanaloana,Chlorophyta,3.6,3.1,9,1-10,Shallow,Maui,MHI
Hono-1,H. kanaloana,Chlorophyta,1.9,2.9,9,1-10,Shallow,Maui,MHI
Hono-2,H. kanaloana,Chlorophyta,1.9,3.4,9,1-10,Shallow,Maui,MHI
Hono-3,H. kanaloana,Chlorophyta,3.2,3.6,9,1-10,Shallow,Maui,MHI
Hono-4,H. kanaloana,Chlorophyta,2.0,3.1,9,1-10,Shallow,Maui,MHI
Hono-5,H. kanaloana,Chlorophyta,1.9,3.3,9,1-10,Shallow,Maui,MHI
HK 10-1,H. kanaloana,Chlorophyta,1.9,2.5,10,1-10,Shallow,Maui,MHI
HK 10-2,H. kanaloana,Chlorophyta,2.5,1.9,10,1-10,Shallow,Maui,MHI
HK 10-3,H. kanaloana,Chlorophyta,2.7,0.5,10,1-10,Shallow,Maui,MHI
HK 10-4,H. kanaloana,Chlorophyta,2.3,3.2,10,1-10,Shallow,Maui,MHI
HK 10-5,H. kanaloana,Chlorophyta,2.6,1.1,10,1-10,Shallow,Maui,MHI
HK K 10-1,H. kanaloana,Chlorophyta,3.1,2.2,10,1-10,Shallow,Maui,MHI
HK K 10-2,H. kanaloana,Chlorophyta,4.0,3.0,10,1-10,Shallow,Maui,MHI
HK K 10-3,H. kanaloana,Chlorophyta,4.1,3.5,10,1-10,Shallow,Maui,MHI
HK K 10-4,H. kanaloana,Chlorophyta,3.7,3.1,10,1-10,Shallow,Maui,MHI
HK K 10-5,H. kanaloana,Chlorophyta,3.7,3.2,10,1-10,Shallow,Maui,MHI
K210-1,H. kanaloana,Chlorophyta,2.0,2.6,10,1-10,Shallow,Maui,MHI
K210-2,H. kanaloana,Chlorophyta,2.4,2.8,10,1-10,Shallow,Maui,MHI
K210-3,H. kanaloana,Chlorophyta,3.8,2.8,10,1-10,Shallow,Maui,MHI
K210-4,H. kanaloana,Chlorophyta,2.0,3.7,10,1-10,Shallow,Maui,MHI
K210-5,H. kanaloana,Chlorophyta,1.8,3.1,10,1-10,Shallow,Maui,MHI
P10-A,H. kanaloana,Chlorophyta,3.2,2.9,10,1-10,Shallow,Maui,MHI
P10-B,H. kanaloana,Chlorophyta,2.2,3.6,10,1-10,Shallow,Maui,MHI
P10-C,H. kanaloana,Chlorophyta,3.4,1.4,10,1-10,Shallow,Maui,MHI
P10-D,H. kanaloana,Chlorophyta,2.2,3.3,10,1-10,Shallow,Maui,MHI
P10-E,H. kanaloana,Chlorophyta,2.4,2.6,10,1-10,Shallow,Maui,MHI
P10-F,H. kanaloana,Chlorophyta,1.9,3.6,10,1-10,Shallow,Maui,MHI
P10-G,H. kanaloana,Chlorophyta,2.1,3.9,10,1-10,Shallow,Maui,MHI
P10-H,H. kanaloana,Chlorophyta,1.9,3.2,10,1-10,Shallow,Maui,MHI
ML1,H. kanaloana,Chlorophyta,2.0,2.6,11,11-20,Shallow,Maui,MHI
ML2,H. kanaloana,Chlorophyta,2.0,3.9,11,11-20,Shallow,Maui,MHI
ML3,H. kanaloana,Chlorophyta,2.9,3.6,11,11-20,Shallow,Maui,MHI
ML4,H. kanaloana,Chlorophyta,2.5,3.2,11,11-20,Shallow,Maui,MHI
ML5,H. kanaloana,Chlorophyta,1.9,3.5,11,11-20,Shallow,Maui,MHI
HK 40,H. kanaloana,Chlorophyta,2.5,2.0,14,11-20,Shallow,Maui,MHI
HK 41,H. kanaloana,Chlorophyta,2.0,3.2,14,11-20,Shallow,Maui,MHI
HK 42,H. kanaloana,Chlorophyta,3.3,-0.4,14,11-20,Shallow,Maui,MHI
HK 43,H. kanaloana,Chlorophyta,2.7,2.0,14,11-20,Shallow,Maui,MHI
HK 44,H. kanaloana,Chlorophyta,3.0,2.0,14,11-20,Shallow,Maui,MHI
HK 45,H. kanaloana,Chlorophyta,2.9,0.6,14,11-20,Shallow,Maui,MHI
HK 46,H. kanaloana,Chlorophyta,4.1,1.6,14,11-20,Shallow,Maui,MHI
HK 47,H. kanaloana,Chlorophyta,3.1,1.1,14,11-20,Shallow,Maui,MHI
HK 48,H. kanaloana,Chlorophyta,2.9,1.7,14,11-20,Shallow,Maui,MHI
HK 49,H. kanaloana,Chlorophyta,2.0,3.3,14,11-20,Shallow,Maui,MHI
HK 50,H. kanaloana,Chlorophyta,1.5,1.2,14,11-20,Shallow,Maui,MHI
HK 51,H. kanaloana,Chlorophyta,3.4,0.3,14,11-20,Shallow,Maui,MHI
HK 52,H. kanaloana,Chlorophyta,2.5,1.4,14,11-20,Shallow,Maui,MHI
HK 53,H. kanaloana,Chlorophyta,3.5,1.8,14,11-20,Shallow,Maui,MHI
HK 54,H. kanaloana,Chlorophyta,3.2,2.1,14,11-20,Shallow,Maui,MHI
HK 55,H. kanaloana,Chlorophyta,5.2,1.8,14,11-20,Shallow,Maui,MHI
HK 56,H. kanaloana,Chlorophyta,3.5,1.8,14,11-20,Shallow,Maui,MHI
HK 57,H. kanaloana,Chlorophyta,2.8,2.1,14,11-20,Shallow,Maui,MHI
HK 58,H. kanaloana,Chlorophyta,3.0,1.6,14,11-20,Shallow,Maui,MHI
