ID,Genus,Division,Percent,N15,Exact_Depth,Depth,Zone,Location,Region
NWHI-957a,Codium sp.,Chlorophyta,0.844614595,4.3,52,51-60,Mesophotic,Pearl & Hermes,NWHI
NWHI-957b,Codium sp.,Chlorophyta,0.907721579,4.3,52,51-60,Mesophotic,Pearl & Hermes,NWHI
NWHI-957c,Codium sp.,Chlorophyta,1.04081394,4.5,52,51-60,Mesophotic,Pearl & Hermes,NWHI
COA-D2,Codium sp.,Chlorophyta,1.299151889,3.72,54,51-60,Mesophotic,Oahu,MHI
NWHI-90,Codium sp.,Chlorophyta,1.269064206,4.90,55,51-60,Mesophotic,Midway,NWHI
NWHI-317,Codium sp.,Chlorophyta,0.674306205,4.30,55,51-60,Mesophotic,Midway,NWHI
NWHI-278,Codium sp.,Chlorophyta,1.223879755,4.70,55,51-60,Mesophotic,Pearl & Hermes,NWHI
NWHI-251,Codium sp.,Chlorophyta,0.756985764,2.70,56,51-60,Mesophotic,Lisianski,NWHI
NWHI-252,Codium sp.,Chlorophyta,0.909713391,4.00,56,51-60,Mesophotic,Lisianski,NWHI
NWHI-86,Codium sp.,Chlorophyta,1.180313589,4.50,56,51-60,Mesophotic,Pearl & Hermes,NWHI
NWHI-87,Codium sp.,Chlorophyta,0.604842427,4.40,56,51-60,Mesophotic,Pearl & Hermes,NWHI
NWHI-104,Codium sp.,Chlorophyta,1.557554852,1.80,58,51-60,Mesophotic,Lisianski,NWHI
NWHI-77,Codium sp.,Chlorophyta,0.505482252,3.00,58,51-60,Mesophotic,Pearl & Hermes,NWHI
NWHI-249,Codium sp.,Chlorophyta,0.976531737,2.90,59,51-60,Mesophotic,Lisianski,NWHI
NWHI-206-1,Codium sp.,Chlorophyta,0.57654316,1.30,61,61-70,Mesophotic,Laysan,NWHI
NWHI-74,Codium sp.,Chlorophyta,0.606345035,2.90,62,61-70,Mesophotic,FFS,NWHI
NWHI-162-1,Codium sp.,Chlorophyta,1.104549896,4.20,64,61-70,Mesophotic,Nihoa,NWHI
NWHI-271,Codium sp.,Chlorophyta,1.014801887,2.40,64,61-70,Mesophotic,Lisianski,NWHI
NWHI-303,Codium sp.,Chlorophyta,0.840739851,4.70,65,61-70,Mesophotic,Midway,NWHI
NWHI-216,Codium sp.,Chlorophyta,0.860405275,3.50,67,61-70,Mesophotic,FFS,NWHI
NWHI-322,Codium sp.,Chlorophyta,1.078182331,1.80,69,61-70,Mesophotic,Pearl & Hermes,NWHI
NWHI-377,Codium sp.,Chlorophyta,0.648664095,4.20,70,61-70,Mesophotic,Pearl & Hermes,NWHI
P5-736 57,Codium sp.,Chlorophyta,1.150697707,2.56,84,81-90,Mesophotic,Maui,MHI
P5-736 47,Codium sp.,Chlorophyta,1.985667171,3.65,87,81-90,Mesophotic,Maui,MHI
NWHI-232,Codium sp.,Chlorophyta,1.876842822,3.40,88,81-90,Mesophotic,FFS,NWHI
NWHI-348,Codium sp.,Chlorophyta,1.559040937,1.10,91,91-100,Mesophotic,FFS,NWHI
NWHI-394,Codium sp.,Chlorophyta,1.25345072,5.50,91,91-100,Mesophotic,Kure,NWHI
NWHI-396,Codium sp.,Chlorophyta,0.689808086,4.90,91,91-100,Mesophotic,Kure,NWHI
NWHI-403,Codium sp.,Chlorophyta,0.854958004,3.60,91,91-100,Mesophotic,Kure,NWHI
NWHI-431,Codium sp.,Chlorophyta,0.695704028,5.1,91,91-100,Mesophotic,Salmon,NWHI
